New_Deal_Count,Product_Family,Product_Code,Product_Name
97,DSM,EPMCL0020,Ivanti Advanced Patch Perpetual License - Powered by HEAT
7,DSM,EPTCL0011,"Ivanti Frontrange DSM v7 Portal Perpetual License - Powered by HEAT, Volume Only"
9,DSM,ERTCL0007,Frontrange DSM v7 Remote License
5,DSM,HEMCF0001,"Ivanti HEAT Endpoint Perpetual License - Powered by HEAT, Volume Only"
8,DSM,HEMCF0003,"Ivanti HEAT Endpoint DSM (Device) Perpetual License - Powered by HEAT, Volume Only"
4,DSM,HEMCF0007,"Ivanti HEAT Endpoint DSM 2016 (Device) Perpetual License - Powered by HEAT, Volume Only"
1,DSM,HEMSV0001,"Ivanti HEAT Endpoint DSM (Device) 1Yr Subscription - Powered by HEAT, Volume/Renewal Only"
15,DSM,HPLCL0001,Ivanti HEAT PatchLink Perpetual License - Powered by HEAT
45,DSM,HPLCL0002,Ivanti HEAT PatchLink Upgrade Perpetual License - Powered by HEAT
3,DSM,HPLSV0001,HEAT PatchLink Subscription
11,DSM,HRECL0001,"Ivanti HEAT Remote DSM (Device) Perpetual License - Powered by HEAT, Volume Only"
1,DSM,HRESV0001,"Ivanti HEAT Remote DSM (Device) 1Yr Subscription - Powered by HEAT, Volume/Renewal Only"
2,DSM,HSBCL0001,HEAT Server Management SBC (User)
30,DSM,HTCSV0014,"Ivanti HEAT Remote (P) 1Yr Subscription - Powered by HEAT, Volume/Renewal Only"
13,DSM,HTDCF0001,"Ivanti HEAT DSM 2015 Perpetual License - Powered by HEAT, Volume Only"
44,DSM,HTDCF0003,"Ivanti HEAT Client Management Basic Perpetual License - Powered by HEAT, Volume Only"
46,DSM,HTDCF0005,"Ivanti HEAT Client Management 2015 Perpetual License - Powered by HEAT, Volume Only"
1,DSM,HTDCF0007,"Ivanti HEAT Client Management 2015 1Yr Subscription - Powered by HEAT, Renewal Only"
6,DSM,HTDCF0009,HEAT Client Management Basic Subscription
22,DSM,HTDCF0010,"Ivanti HEAT Client Mgmt DSM (Device) Perpetual License - Powered by HEAT, Volume Only"
2,DSM,HTDCF0014,"Ivanti HEAT Client Mgmt DSM (Device) 3Yr Subscription - Powered by HEAT, Volume/Renewal Only"
28,DSM,HTDCF0015,Ivanti DSM Perpetual License - Formerly HEAT Client Management DSM
3,ELA PICK2,ELA-P2AMSM-S,Ivanti ELA Annual Subscription User License - Pick Two: ITAM and ITSM
3,ELA PICK2,ELA-P2UEMAM-S,Ivanti ELA Annual Subscription User License - Pick Two: UEM and ITAM
4,ELA PICK2,ELA-P2UEMSEC-S,Ivanti ELA Annual Subscription User License - Pick Two: UEM and Security
3,ELA PICK2,ELA-P2UEMSM-S,Ivanti ELA Annual Subscription User License - Pick Two: UEM and ITSM
11,ELA UNIFIED IT,ELA-UIT-S,Ivanti ELA Annual Subscription User License - Unified IT
3,ELA UNIFIED IT,ELA-UPG-UIT-S,Ivanti ELA Upgrade Annual Subscription User License - Unified IT
4,EMSS,APCCL0001,"Ivanti Application Control Perpetual License - Powered by HEAT, Volume Only"
1,EMSS,AVSCL0001,"Ivanti AntiVirus Perpetual License - Powered by HEAT, Volume Only"
1,EMSS,CWZCL0001,"Ivanti Content Wizard Perpetual License - Powered by HEAT, Volume Only"
1,EMSS,CWZHS0001,"Ivanti Content Wizard MSP Subscription - Powered by HEAT, Volume/Renewal Only"
4,EMSS,CWZSV0001,"Ivanti Content Wizard 1Yr Subscription - Powered by HEAT, Volume/Renewal Only"
5,EMSS,DCECL0001,"Ivanti Device Control Enterprise Perpetual License - Powered by HEAT, Volume Only"
2,EMSS,DCESV0001,"Ivanti Device Control Enterprise 1Yr Subscription - Powered by HEAT, Volume/Renewal Only"
35,EMSS,EMECF0001,"Ivanti Endpoint Mgmt & Security Suite Ent Perpetual License - Powered by HEAT, Volume Only"
22,EMSS,EMECF0003,"Ivanti Endpoint Mgmt & Security Suite Ent Subscription - Powered by HEAT, Volume/Renewal Only"
28,EMSS,EMECF0004,"Ivanti Endpoint Mgmt & Sec Suite Ent MSP Subscription - Powered by HEAT, Volume/Renewal Only"
19,EMSS,EMMCF0001,"Ivanti Endpoint Mgmt & Security Suite Perpetual License - Powered by HEAT, Volume Only"
13,EMSS,EMMCF0003,"Ivanti Endpoint Mgmt & Security Suite Subscription - Powered by HEAT, Volume/Renewal Only"
2,EMSS,EMMMT0004,"Ivanti Endpoint Mgmt and Security Premium Support Subscription, powered by HEAT Renewal Only"
54,EMSS,EMMSL0001,Endpoint Mgmt & Security Suite Platform
21,EMSS,EMMSL0003,Endpoint Mgmt & Security Suite Enterprise Platform
2,EMSS,EMMSL0004,Endpoint Mgmt & Security Suite Standard Platform
1,EMSS,EMMSL0005,"Ivanti Endpoint Mgmt & Security Suite MSP SaaS - Powered by HEAT, Volume/Renewal Only"
7,EMSS,ES-SV-L,"Ivanti Endpoint Security for Server License, powered by HEAT"
63,EMSS,ES-WS-L,"Ivanti Endpoint Security for Workstation License, powered by HEAT"
108,EMSS,HESCF0001,Ivanti HEAT EMSS (Device) Perpetual License - Powered by HEAT
37,EMSS,HESSV0001,"Ivanti HEAT EMSS (Device) 1Yr Subscription - Powered by HEAT, Volume/Renewal Only"
2,EMSS,HESSV0002,"Ivanti HEAT EMSS (Device) 2 Yr Subscription - Powered by HEAT, Volume/Renewal Only"
2,EMSS,HESSV0003,"Ivanti HEAT EMSS (Device) 3 Yr Subscription - Powered by HEAT, Volume/Renewal Only"
18,EMSS,HPECL0001,"Ivanti HEAT PatchLink (P&R) Perpetual License - Powered by HEAT, Volume Only"
10,EMSS,HPESV0001,"Ivanti HEAT PatchLink (P&R) 1Yr Subscription - Powered by HEAT, Volume/Renewal Only"
3,EMSS,HPESV0002,"Ivanti HEAT PatchLink (P&R) 2Yr Subscription - Powered by HEAT, Volume/Renewal Only"
1,EMSS,HPESV0003,"Ivanti HEAT PatchLink (P&R) 3Yr Subscription - Powered by HEAT, Volume/Renewal Only"
1,EMSS,OEMPMCL01,Ivanti OEM Royalty Patch Management API Perpetual License - Powered by HEAT
60,EMSS,OEMPMSV01,Ivanti OEM Royalty Patch Management API Subscription - Powered by HEAT
4,EMSS,PRWCL0001,"Ivanti Patch & Remediation Windows Perpetual License - Powered by HEAT, Volume Only"
37,EMSS,PRWHS0001,"Ivanti Patch & Remediation Windows 1Yr MSP Subscription - Powered by HEAT, Volume/Renewal Only"
